Sr No,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks,date
2635,iCrushiFlush,Casual Dating App,Online Lending Platform,Mumbai,IDG Ventures India,Seed Funding,18438.5,Not provided,23/07/2015
2636,MedGenome,Clinical Genomics Provider,Online Lending Platform,Bangalore,Sequoia Capital,Private Equity,20000.0,Series B,23/07/2015
2637,HolidayIQ,Travel information portal,Online Lending Platform,Bangalore,MakeMyTrip,Private Equity,15000.0,Strategic Investment,23/07/2015
2638,Fitternity,Fitness Marketplace,Online Lending Platform,Mumbai,Exfinity Venture Partners,Private Equity,1000.0,Series A,23/07/2015
2639,Quikr,Online & Mobile classified listings,Online Lending Platform,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,44596.25,Late Stage,23/07/2015
2640,JetSetGo,Private Jet/ Helicopter Marketplace,Online Lending Platform,New Delhi,YourWeCan Ventures,Seed Funding,18438.5,Not provided,23/07/2015
2641,BroEx,Real Estate Broker network App,Online Lending Platform,Gurgaon,Lightspeed India,Private Equity,1000.0,Bridge round,24/07/2015
2642,Shopatplaces,Ethnic/ Traditional Fashion Store,Online Lending Platform,New Delhi,Indian Angel Network,Seed Funding,18438.5,Not provided,25/07/2015
2643,CredR,Used Bikes Marketplace,Online Lending Platform,Mumbai,Fidelity Growth Partners,Private Equity,15000.0,Series A,25/07/2015
2644,ManageMySpa,Spa & Salon Management Software,Online Lending Platform,Hyderabad,Accel Partners,Private Equity,6000.0,Series A,27/07/2015
2645,Townrush,B2B logistics delivery platform,Online Lending Platform,Bangalore,Lightspeed Venture Partners,Seed Funding,18438.5,Not provided,27/07/2015
2646,Locus,Logistics Automation Platform,Online Lending Platform,Bangalore,"growX ventures,\\xc2\\xa0 Manish Singhal",Seed Funding,18438.5,Not provided,27/07/2015
2647,Bevy,Online Hiring Platform,Online Lending Platform,Bangalore,Varun Agarwal & Others,Seed Funding,18438.5,Not provided,27/07/2015
2648,Pepperfry,Online home d\\xc3\\xa9cor marketplace,Online Lending Platform,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,44596.25,Series D,28/07/2015
2649,Flipkart.com,Online Marketplace,Online Lending Platform,Bangalore,Steadview Capital and existing investors,Private Equity,44596.25,"Late Stage, 10th Round More here",28/07/2015
2650,Opinio,Hyperlocal food & grocery store,Online Lending Platform,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed Funding,1300.0,Not provided,28/07/2015
2651,Zoctr,Health-Tech platform,Online Lending Platform,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,1000.0,Not provided,28/07/2015
2652,Zimmber,Hyperlocal Handyman Services,Online Lending Platform,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures,\\xc2\\xa0 Mohandas Pai",Private Equity,2000.0,Series A,29/07/2015
2653,trueHb,Medical Tech Instruments,Online Lending Platform,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding,2400.0,Not provided,29/07/2015
2654,Zovi.com / Little App,Hyperlocal Deals Marketplace,Online Lending Platform,Bangalore,"Paytm, SAIF Partners,\\xc2\\xa0 Tiger Global Management & others",Private Equity,44596.25,Series A,29/07/2015
2655,Swajal,Innovative Water Solutions,Online Lending Platform,Gurgaon,Abhishek Gupta,Private Equity,1200.0,Series A,29/07/2015
2656,Pipa Bella,Online Jewelry Store,Online Lending Platform,Mumbai,LionRock Capital,Private Equity,600.0,Pre-Series A,30/07/2015
2657,Pragmatix,Business intelligence & Analytics,Online Lending Platform,Mumbai,SIDBI Venture Capital Ltd,Private Equity,2400.0,Series A,30/07/2015
2658,Droom.in,Used Vehicle Marketplace,Online Lending Platform,New Delhi,"Lightbox Ventures, Beenos",Private Equity,16000.0,Series A,30/07/2015
2659,MadRat Games,Educational Board Games,Online Lending Platform,Bangalore,"Kunal Bahl, Rohit Bansal",Seed Funding,168.0,Not provided,30/07/2015
2660,Noodle Play,Chinese food delivery,Online Lending Platform,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,168.0,Not provided,30/07/2015
